ชื่อหอพัก,ราคาเช่า / เดือน,ขนาดห้อง /ตร.ม,ระยะทางถึง มหาลัย / กม.,ระยะทางถึงขนส่ง / กม.,ระยะทางถึงร้านอาหาร / กม.,ที่จอดรถ (1/0),ค่าน้ำ / บาท,ค่าไฟ,เขตที่ตั้ง,มหาลัย (1/0),,Link
H41 Boutique Residence,"4,500",27,2.1,0.73,0.92,1,17,7,1,1,,https://www.renthub.in.th/h41-boutique-residence
สบายพระราม8 อพาร์ทเม้นท์,"4,500",22.5,0.518,0.168,0.471,1,18,7,1,1,,https://shorturl.asia/uGbjp
หอพักโชคดี,"3,800",20,3.5,0.25,1.6,1,17,7,2,1,,https://shorturl.asia/oedJF
หอพักโชคดี,"4,300",22,3.5,0.25,1.6,1,17,7,2,1,,https://shorturl.asia/oedJF
หอพักโชคดี,"4,800",24,3.5,0.25,1.6,1,17,7,2,1,,https://shorturl.asia/oedJF
หอพักโชคดี,"5,000",45,3.5,0.25,1.6,1,17,7,2,1,,https://shorturl.asia/oedJF
มิตรอนันต์ บางกอกน้อย,"3,600",25,0.984,0.103,0.471,1,16,5,1,1,,https://shorturl.asia/npCF9
มิตรอนันต์ บางกอกน้อย,"6,000",50,0.984,0.103,0.471,1,16,5,1,1,,https://shorturl.asia/npCF9
มิตรอนันต์ บางกอกน้อย,"7,000",50,0.984,0.103,0.471,1,16,5,1,1,,https://shorturl.asia/npCF9
มิตรอนันต์ บางกอกน้อย,"8,500",50,0.984,0.103,0.471,1,16,5,1,1,,https://shorturl.asia/npCF9
พี พาร์ค เรสซิเดนซ์,"4,200",20,0.522,0.49,0.149,1,20,8,2,0,,https://shorturl.asia/4hutM
พี พาร์ค เรสซิเดนซ์,"6,000",30,0.522,0.49,0.149,1,20,8,2,0,,https://shorturl.asia/4hutM
The Light Residence,"5,000",25,0.406,0.62,0.492,1,13.5,4.5,2,1,,https://shorturl.asia/Zya4u
ติณจักรินทร์อพาร์ทเมนต์,"4,500",22,0.693,0.337,0.735,1,18,8,1,0,,https://shorturl.asia/djS0w
ติณจักรินทร์อพาร์ทเมนต์,"4,500",17,0.693,0.337,0.735,1,18,8,1,0,,https://shorturl.asia/djS0w
ติณจักรินทร์อพาร์ทเมนต์,"5,500",27,0.693,0.337,0.735,1,18,8,1,0,,https://shorturl.asia/djS0w
ติณจักรินทร์อพาร์ทเมนต์,"6,500",33,0.693,0.337,0.735,1,18,8,1,0,,https://shorturl.asia/djS0w
ติณจักรินทร์อพาร์ทเมนต์,"2,800",14,0.693,0.337,0.735,1,18,8,1,0,,https://shorturl.asia/djS0w
รุ่งอุไร อพาร์ทเม้นท์,"2,500",23,0.12,0.1,0.02,0,17,8,2,1,,https://shorturl.asia/iDkO3
สิริฉันท์อพาร์ตเมนต์,"3,000",26,2.4,1.2,1.1,1,19,7,3,1,,https://shorturl.asia/duhS2
สิริฉันท์อพาร์ตเมนต์,"3,400",26,2.4,1.2,1.1,1,19,7,3,1,,https://shorturl.asia/duhS2
เชาวเรศ แมนชั่น,"2,500",28,1.6,0.5,0.28,0,21,7,3,0,,https://shorturl.asia/SLGl0
เชาวเรศ แมนชั่น,"3,000",28,1.6,0.5,0.28,0,21,7,3,0,,https://shorturl.asia/SLGl0
เชาวเรศ แมนชั่น,"4,500",50,1.6,0.5,0.28,0,21,7,3,0,,https://shorturl.asia/SLGl0
ฟอร์จูนน่า อพาร์ทเม้นท์ ลาดพร้าว 122,"2,900",25,1.5,1,0.05,1,17,7,2,1,,https://shorturl.asia/yRCr7
ฟอร์จูนน่า อพาร์ทเม้นท์ ลาดพร้าว 122,"3,400",25,1.5,1,0.05,1,17,7,2,1,,https://shorturl.asia/yRCr7
ฟอร์จูนน่า อพาร์ทเม้นท์ ลาดพร้าว 122,"3,900",25,1.5,1,0.05,1,17,7,2,1,,https://shorturl.asia/yRCr7
จุฑาภัสร์ เพลส ,"3,500",22,1.5,0.41,0.66,1,17,7,2,1,,https://shorturl.asia/QXNtC
จุฑาภัสร์ เพลส,"4,000",22,1.5,0.41,0.66,1,17,7,2,1,,https://shorturl.asia/QXNtC
แอดโฮมเรสซิเดนท์,"2,400",23,1.5,0.18,0.21,1,17,7,2,1,,https://shorturl.asia/Pm8S9
แอดโฮมเรสซิเดนท์,"2,800",23,1.5,0.18,0.21,1,17,7,2,1,,https://shorturl.asia/Pm8S9
แอดโฮมเรสซิเดนท์,"3,200",23,1.5,0.18,0.21,1,17,7,2,1,,https://shorturl.asia/Pm8S9
แอดโฮมเรสซิเดนท์,"6,000",46,1.5,0.18,0.21,1,17,7,2,1,,https://shorturl.asia/Pm8S9
อู่ทองแมนชั่น,"4,800",26,1.5,0.22,0.26,1,18,7,2,1,,https://shorturl.asia/nOM4o
อู่ทองแมนชั่น,"4,000",24,1.5,0.22,0.26,1,18,7,2,1,,https://shorturl.asia/nOM4o
เนส บูติกรีสอร์ท,"2,900",24,4.7,1.4,0.08,1,20,8,3,1,,https://shorturl.asia/B9vMm
เนส บูติกรีสอร์ท,"3,500",24,4.7,1.4,0.08,1,20,8,3,1,,https://shorturl.asia/B9vMm
เนส บูติกรีสอร์ท,"3,900",24,4.7,1.4,0.08,1,20,8,3,1,,https://shorturl.asia/B9vMm
SP อพาร์ทเม้นต์,"2,000",16,1.8,0.067,1.7,0,13.5,4.5,1,1,,https://www.renthub.in.th/sp-อพาร์ทเม้นต์
SP อพาร์ทเม้นต์,"3,000",16,1.8,0.067,1.7,0,13.5,4.5,1,1,,https://www.renthub.in.th/sp-อพาร์ทเม้นต์
บ้านพรทิพย์,"2,000",20,2,0.7,1.4,1,13.5,4.5,1,1,,https://www.renthub.in.th/บ้านพรทิพย์--2
บ้านพรทิพย์,"2,300",20,2,0.7,1.4,1,13.5,4.5,1,1,,https://www.renthub.in.th/บ้านพรทิพย์--2
บ้านพรทิพย์,"3,000",20,2,0.7,1.4,1,13.5,4.5,1,1,,https://www.renthub.in.th/บ้านพรทิพย์--2
บ้านพรทิพย์,"3,300",20,2,0.7,1.4,1,13.5,4.5,1,1,,https://www.renthub.in.th/บ้านพรทิพย์--2
ดวงตะวันอพาร์ทเม้นท์,"2,000",15,2.8,1.2,0.73,0,20,8,1,1,,https://www.renthub.in.th/ดวงตะวันอพาร์ทเม้นท์
ดวงตะวันอพาร์ทเม้นท์,"2,500",35,2.8,1.2,0.73,0,20,8,1,1,,https://www.renthub.in.th/ดวงตะวันอพาร์ทเม้นท์
สุวรรณิน อพาทเม้นท์,"3,800",21,1.5,0.99,2.5,1,20,8,1,1,,https://www.renthub.in.th/สุวรรณิน-อพาทเม้นท์
สุวรรณิน อพาทเม้นท์,"2,600",21,1.5,0.99,2.5,1,20,8,1,1,,https://www.renthub.in.th/สุวรรณิน-อพาทเม้นท์
สุวรรณิน อพาทเม้นท์,"4,000",21,1.5,0.99,2.5,1,20,8,1,1,,https://www.renthub.in.th/สุวรรณิน-อพาทเม้นท์
สุวรรณิน อพาทเม้นท์,"4,200",21,1.5,0.99,2.5,1,20,8,1,1,,https://www.renthub.in.th/สุวรรณิน-อพาทเม้นท์
สุวรรณิน อพาทเม้นท์,"3,500",21,1.5,0.99,2.5,1,20,8,1,1,,https://www.renthub.in.th/สุวรรณิน-อพาทเม้นท์
ลัคกี้เฮ้าส์หอพัก วงเวียน 22,"4,500",3.8,1.9,0.35,3,0,18,7,1,1,,https://www.renthub.in.th/ลัคกี้เฮ้าส์หอพัก-วงเวียน-22
Yellow House สาทร ซอย 11,"3,500",24,1,0.57,1,0,20,8,1,1,,https://www.renthub.in.th/yellow-house-สาทร-ซอย-11
เซนต์หลุยส์อพาร์ทเม้นต์,"4,300",28,2.5,1.1,0.94,0,17,5,1,1,,https://www.renthub.in.th/เซนต์หลุยส์อพาร์ทเม้นต์
99 เหรียญทอง,"4,650",15.5,0.26,0.95,1.1,1,25,10,1,1,,https://www.renthub.in.th/99-เหรียญทอง-สาทร-3-ใกล้-one-bangkok
99 เหรียญทอง,"5,190",20,0.26,0.95,1.1,1,25,10,1,1,,https://www.renthub.in.th/99-เหรียญทอง-สาทร-3-ใกล้-one-bangkok
เซนต์วิวเฮาส์,"4,800",20,2,0.38,1.5,1,17,6.2,1,1,,https://www.renthub.in.th/เซนต์วิวเฮาส์-500-ม-bts-สุรศักดิ์-เฟอร์ครบ-พร้อมอยู่-เดินไปทำงานไม่ต้องง้อ-น้ำมัน-bts-mrt
เซนต์วิวเฮาส์,"7,600",20,2,0.38,1.5,1,17,6.2,1,1,,https://www.renthub.in.th/เซนต์วิวเฮาส์-500-ม-bts-สุรศักดิ์-เฟอร์ครบ-พร้อมอยู่-เดินไปทำงานไม่ต้องง้อ-น้ำมัน-bts-mrt
เซนต์วิวเฮาส์,"7,000",30,2,0.38,1.5,1,17,6.2,1,1,,https://www.renthub.in.th/เซนต์วิวเฮาส์-500-ม-bts-สุรศักดิ์-เฟอร์ครบ-พร้อมอยู่-เดินไปทำงานไม่ต้องง้อ-น้ำมัน-bts-mrt
เซนต์วิวเฮาส์,"8,500",30,2,0.38,1.5,1,17,6.2,1,1,,https://www.renthub.in.th/เซนต์วิวเฮาส์-500-ม-bts-สุรศักดิ์-เฟอร์ครบ-พร้อมอยู่-เดินไปทำงานไม่ต้องง้อ-น้ำมัน-bts-mrt
เจ ไอ สาธร สี่พระยา อพาร์ทเม้นท์,"2,500",21,1.2,1.3,1.1,0,20,10,1,1,,https://www.renthub.in.th/เจ-ไอ-สาธร-สี่พระยา-อพาร์ทเม้นท์
เจ ไอ สาธร สี่พระยา อพาร์ทเม้นท์,"3,500",21,1.2,1.3,1.1,0,20,10,1,1,,https://www.renthub.in.th/เจ-ไอ-สาธร-สี่พระยา-อพาร์ทเม้นท์
เจ ไอ สาธร สี่พระยา อพาร์ทเม้นท์,"4,000",22,1.2,1.3,1.1,0,20,10,1,1,,https://www.renthub.in.th/เจ-ไอ-สาธร-สี่พระยา-อพาร์ทเม้นท์
เจ ไอ สาธร สี่พระยา อพาร์ทเม้นท์,"5,000",22,1.2,1.3,1.1,0,20,10,1,1,,https://www.renthub.in.th/เจ-ไอ-สาธร-สี่พระยา-อพาร์ทเม้นท์
แอลมา อพาร์ทเม้น,"3,800",18,2.1,0.4,1.6,0,20,7,1,1,,https://www.renthub.in.th/แอลมา-อพาร์ทเม้น
แอลมา อพาร์ทเม้น,"4,000",30,2.1,0.4,1.6,0,20,7,1,1,,https://www.renthub.in.th/แอลมา-อพาร์ทเม้น
แอลมา อพาร์ทเม้น,"4,500",30,2.1,0.4,1.6,0,20,7,1,1,,https://www.renthub.in.th/แอลมา-อพาร์ทเม้น
แอลมา อพาร์ทเม้น,"5,000",30,2.1,0.4,1.6,0,20,7,1,1,,https://www.renthub.in.th/แอลมา-อพาร์ทเม้น
ไล้ท์โฮม อพาร์ทเม้นท์,"4,200",24,1.2,0.78,1.1,0,17,7,1,1,,https://www.renthub.in.th/ไล้ท์โฮม-อพาร์ทเม้นท์
ไล้ท์โฮม อพาร์ทเม้นท์,"4,400",24,1.2,0.78,1.1,0,17,7,1,1,,https://www.renthub.in.th/ไล้ท์โฮม-อพาร์ทเม้นท์
102 Place,"4,200",24,0.68,1.4,0.26,1,16,8,1,0,,https://www.renthub.in.th/102-place-แมคโครสาทร
102 Place,"5,500",24,0.68,1.4,0.26,1,16,8,1,0,,https://www.renthub.in.th/102-place-แมคโครสาทร
102 Place,"4,500",30,0.68,1.4,0.26,1,16,8,1,0,,https://www.renthub.in.th/102-place-แมคโครสาทร
102 Place,"5,500",30,0.68,1.4,0.26,1,16,8,1,0,,https://www.renthub.in.th/102-place-แมคโครสาทร
บ้านมหาทรัพย์,"4,200",15,1.3,1.7,0.76,1,13.5,4.5,1,1,,https://www.renthub.in.th/บ้านมหาทรัพย์
บ้านมหาทรัพย์,"4,900",15,1.3,1.7,0.76,1,13.5,4.5,1,1,,https://www.renthub.in.th/บ้านมหาทรัพย์
บ้านมหาทรัพย์,"5,500",20,1.3,1.7,0.76,1,13.5,4.5,1,1,,https://www.renthub.in.th/บ้านมหาทรัพย์
บ้านมหาทรัพย์,"5,900",20,1.3,1.7,0.76,1,13.5,4.5,1,1,,https://www.renthub.in.th/บ้านมหาทรัพย์
ไวตีอพาร์เมนท์,"4,500",27,0.68,1.7,0.18,1,18,8,1,1,,https://www.renthub.in.th/ไวตีอพาร์เมนท์
ไวตีอพาร์เมนท์,"5,500",27,0.68,1.7,0.18,1,18,8,1,1,,https://www.renthub.in.th/ไวตีอพาร์เมนท์
อาคารนนทชัยเพลส ย่านพระราม3,"4,500",21.43,1.9,2.1,2.1,1,20,7,1,1,,https://www.renthub.in.th/อาคารนนทชัยเพลส-ย่านพระราม3
อาคารนนทชัยเพลส ย่านพระราม3,"5,000",27.3,1.9,2.1,2.1,1,20,7,1,1,,https://www.renthub.in.th/อาคารนนทชัยเพลส-ย่านพระราม3
อาคารนนทชัยเพลส ย่านพระราม3,"7,000",42.64,1.9,2.1,2.1,1,20,7,1,1,,https://www.renthub.in.th/อาคารนนทชัยเพลส-ย่านพระราม3
อาคารนนทชัยเพลส ย่านพระราม3,"9,000",57.6,1.9,2.1,2.1,1,20,7,1,1,,https://www.renthub.in.th/อาคารนนทชัยเพลส-ย่านพระราม3
สามัคคี แมนชั่น,"4,950",23,1.4,1.5,1.2,1,18,4,1,0,,https://www.renthub.in.th/สามัคคี-แมนชั่น--2
สามัคคี แมนชั่น,"5,320",23,1.4,1.5,1.2,1,18,4,1,0,,https://www.renthub.in.th/สามัคคี-แมนชั่น--2
สามัคคี แมนชั่น,"5,510",28,1.4,1.5,1.2,1,18,4,1,0,,https://www.renthub.in.th/สามัคคี-แมนชั่น--2
สามัคคี แมนชั่น,"5,985",28,1.4,1.5,1.2,1,18,4,1,0,,https://www.renthub.in.th/สามัคคี-แมนชั่น--2
LKN INN บ้านครัวเหนือ,"4,000",22,2,0.57,1.7,0,15,4.69,1,1,,https://www.renthub.in.th/lkn-inn-บ้านครัวเหนือ
LKN INN บ้านครัวเหนือ,"4,500",25,2,0.57,1.7,0,15,4.69,1,1,,https://www.renthub.in.th/lkn-inn-บ้านครัวเหนือ
พี.เอส.แมนชั่น 2 ,"4,200",18,0.83,0.68,1.9,1,18,7,1,1,,https://www.renthub.in.th/พี-เอส-แมนชั่น-2-ตึกเขียว
พี.เอส.แมนชั่น 2 ,"5,000",24,0.83,0.68,1.9,1,18,7,1,1,,https://www.renthub.in.th/พี-เอส-แมนชั่น-2-ตึกเขียว
พี.เอส.แมนชั่น 2 ,"5,400",24,0.83,0.68,1.9,1,18,7,1,1,,https://www.renthub.in.th/พี-เอส-แมนชั่น-2-ตึกเขียว
พี.เอส.แมนชั่น 2 ,"6,300",32,0.83,0.68,1.9,1,18,7,1,1,,https://www.renthub.in.th/พี-เอส-แมนชั่น-2-ตึกเขียว
บ้านคูณอนันต์,"4,500",13,2.2,0.25,1.4,0,20,8,1,1,,https://www.renthub.in.th/บ้านคูณอนันต์
บ้านคูณอนันต์,"4,900",13,2.2,0.25,1.4,0,20,8,1,1,,https://www.renthub.in.th/บ้านคูณอนันต์
เดอะแกรนด์ แมนชั่น,"4,500",30,4,0.76,1.4,1,17,6,2,1,,https://shorturl.asia/T1qiS
